Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
	Painter	Teresa L Royal		D	NC07	2021	4/6/2021	40003150
Hon.	Pelosi	Nancy		P	CA12	2021	1/21/2021	20018011
Hon.	Pelosi	Nancy		P	CA12	2021	3/9/2021	20018355
Hon.	Pelosi	Nancy		P	CA12	2021	4/9/2021	20018539
Hon.	Peters	Scott H.		P	CA52	2021	1/13/2021	20017994
Hon.	Peters	Scott H.		P	CA52	2021	2/8/2021	20018152
Hon.	Peters	Scott H.		P	CA52	2021	3/11/2021	20018346
Hon.	Peters	Scott H.		P	CA52	2021	4/14/2021	20018560
Hon.	Peterson	Collin C.		T	MN07	2021	1/25/2021	10039466
	Pfaff	Teresa Marie		C	IL16	2021	4/24/2021	10039770
Hon.	Phillips	Dean		P	MN03	2021	1/9/2021	20017991
Hon.	Phillips	Dean		P	MN03	2021	2/13/2021	20018175
Hon.	Phillips	Dean		P	MN03	2021	3/9/2021	20018352
Hon.	Phillips	Dean		P	MN03	2021	4/7/2021	20018523
Hon.	Pingree	Chellie		P	ME01	2021	4/13/2021	20018542
	Preece	Christopher		D	KY06	2021	4/13/2021	40003154
Hon.	Price	David E.		P	NC04	2021	1/3/2021	20017957
Hon.	Price	David E.		P	NC04	2021	2/5/2021	20018163
Hon.	Price	David E.		P	NC04	2021	2/19/2021	20018253
	Purham	Randy		C	AK00	2021	4/2/2021	10039689
	Redden	Savanna		D	OH01	2021	4/13/2021	40003153
	Reuter	Kimberly Ann Clark		D	GA10	2021	4/21/2021	40003161
Hon.	Richmond	Cedric L.		E	LA02	2021	2/11/2021	8217855
	Robertson	Mark Steven		C	NV03	2021	4/28/2021	10039768
Hon.	Roby	Martha		X	AL02	2021	2/2/2021	30011641
	Rodermund	Jon Travis		C	TX06	2021	4/16/2021	10039694
	Rodermund	Jon Travis		D	TX06	2021	3/31/2021	40003149
	Rodriguez	Lucia S.		W		2021		8217932
Hon.	Rogers	Harold Dallas		P	KY05	2021	2/10/2021	8217844
Hon.	Rogers	Harold Dallas		P	KY05	2021	4/1/2021	8217925
Hon.	Rogers	Harold Dallas		P	KY05	2021	4/1/2021	8217926
Hon.	Rooney	Francis		T	FL19	2021	2/3/2021	8217834
Hon.	Rose	Max		T	NY11	2021	2/2/2021	10039490
	Ross	Deborah K.		P	NC02	2021	1/24/2021	20018072
Hon.	Rouda	Harley E.	Jr	X	CA48	2021	1/22/2021	30011636
Hon.	Rutherford	John		P	FL04	2021	2/2/2021	20018123
Hon.	Rutherford	John		P	FL04	2021	2/2/2021	20018124
Hon.	Rutherford	John		P	FL04	2021	3/8/2021	20018350
Ms.	Sanchez	Jana		C	TX06	2021	4/21/2021	10039750
	Sasinowski	Sass		C	TX00	2021	2/10/2021	10039527
Hon.	Schrader	Kurt		P	OR05	2021	2/23/2021	8217870
Hon.	Schrader	Kurt		P	OR05	2021	3/9/2021	8217887
Hon.	Schrader	Kurt		P	OR05	2021	4/1/2021	8217927
Hon.	Schrader	Kurt		P	OR05	2021	4/1/2021	8217928
Hon.	Scott	Austin		P	GA08	2021	2/12/2021	20018208
Hon.	Scott	Austin		P	GA08	2021	4/1/2021	20018498
	Sedillo Lopez	Antoinette		C	NM01	2021	3/25/2021	10039667
Hon.	Serrano	José E.		T	NY15	2021	1/17/2021	10039447
Hon.	Shalala	Donna		T	FL27	2021	2/24/2021	10039414
Hon.	Shalala	Donna		X	FL27	2021	1/22/2021	30011635
	Sheriff	Peggy		W		2021		8217933
Hon.	Sherrill	Mikie		P	NJ11	2021	4/1/2021	20018496
